City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Kysyl-Syr,RU,2022-02-06 19:17:16,63.8986,122.7617,-21.91,99,100,7.23,overcast clouds
216,Oranjemund,NA,2022-02-06 19:17:16,-28.55,16.4333,67.06,71,52,8.1,broken clouds
217,Pangnirtung,CA,2022-02-06 19:17:17,66.1451,-65.7125,-31.0,68,75,0.0,broken clouds
218,Kavieng,PG,2022-02-06 19:17:17,-2.5744,150.7967,81.16,77,82,3.47,broken clouds
219,Cayenne,GF,2022-02-06 19:17:18,4.9333,-52.3333,81.09,85,75,3.0,light rain
220,Ocampo,MX,2022-02-06 19:17:18,21.65,-101.5,69.28,24,0,15.93,clear sky
221,Airai,TL,2022-02-06 19:16:05,-8.9266,125.4092,60.82,89,92,1.16,overcast clouds
222,Leningradskiy,RU,2022-02-06 19:12:41,69.3833,178.4167,-22.76,98,28,6.62,scattered clouds
223,Chokurdakh,RU,2022-02-06 19:17:19,70.6333,147.9167,-39.37,100,87,2.51,overcast clouds
224,Norman Wells,CA,2022-02-06 19:15:40,65.282,-126.8329,-14.76,70,75,16.11,broken clouds
225,Souillac,MU,2022-02-06 19:17:20,-20.5167,57.5167,79.36,89,40,9.22,scattered clouds
226,Les Cayes,HT,2022-02-06 19:17:20,18.2,-73.75,82.71,53,2,10.11,clear sky
227,Atherton,GB,2022-02-06 19:17:21,53.5237,-2.4935,43.11,80,100,11.99,overcast clouds
228,Sambava,MG,2022-02-06 19:17:18,-14.2667,50.1667,76.15,89,60,6.58,broken clouds
229,Yeniseysk,RU,2022-02-06 19:18:22,58.4497,92.1703,6.69,98,100,2.71,overcast clouds
230,Saint-Pierre,RE,2022-02-06 19:18:22,-21.3393,55.4781,80.24,78,0,4.61,clear sky
231,Ixhuatan,MX,2022-02-06 19:18:23,16.3569,-94.4825,87.6,37,6,6.6,clear sky
232,Nouadhibou,MR,2022-02-06 19:18:07,20.931,-17.0347,67.98,88,5,14.97,clear sky
233,Mount Gambier,AU,2022-02-06 19:18:23,-37.8333,140.7667,59.36,63,0,5.23,clear sky
234,Port Elizabeth,ZA,2022-02-06 19:15:21,-33.918,25.5701,78.1,83,0,14.97,clear sky
235,Macamic,CA,2022-02-06 19:18:24,48.7502,-78.9996,16.03,92,100,10.07,snow
236,Sinnamary,GF,2022-02-06 19:18:24,5.3833,-52.95,81.88,75,100,9.33,light rain
237,Prince Rupert,CA,2022-02-06 19:17:24,54.3161,-130.3201,46.49,76,100,21.85,overcast clouds
238,Chapais,CA,2022-02-06 19:17:46,49.7834,-74.8492,6.58,93,100,10.71,light snow
239,Bathsheba,BB,2022-02-06 19:17:59,13.2167,-59.5167,83.01,65,40,18.41,scattered clouds
240,Bara,NG,2022-02-06 19:18:26,10.3744,10.7288,75.04,19,2,7.67,clear sky
241,Tubmanburg,LR,2022-02-06 19:18:26,6.8708,-10.8172,80.78,72,4,7.58,clear sky
242,Ajdabiya,LY,2022-02-06 19:18:27,30.7554,20.2263,58.37,53,100,0.69,overcast clouds
243,Guerrero Negro,MX,2022-02-06 19:18:27,27.9769,-114.0611,66.49,26,0,4.5,clear sky
244,Soyo,AO,2022-02-06 19:18:28,-6.1349,12.3689,78.03,83,29,9.95,scattered clouds
245,Saldanha,ZA,2022-02-06 19:15:54,-33.0117,17.9442,63.9,95,38,8.63,scattered clouds
246,Namatanai,PG,2022-02-06 19:17:57,-3.6667,152.4333,79.36,79,19,3.33,few clouds
247,Inirida,CO,2022-02-06 19:18:29,3.8653,-67.9239,86.18,62,100,3.49,overcast clouds
248,Greymouth,NZ,2022-02-06 19:18:29,-42.4667,171.2,54.45,69,100,9.8,overcast clouds
249,Nebolchi,RU,2022-02-06 19:18:30,59.1239,33.3454,30.15,91,100,10.89,overcast clouds
250,Malko Tarnovo,BG,2022-02-06 19:18:30,41.9833,27.5333,39.13,79,0,8.05,clear sky
251,Tuatapere,NZ,2022-02-06 19:18:30,-46.1333,167.6833,44.82,84,5,3.0,clear sky
252,Kondinskoye,RU,2022-02-06 19:18:31,59.6481,67.41,12.51,95,100,9.57,overcast clouds
253,Krasnogorskoye,RU,2022-02-06 19:18:31,52.2953,86.1979,-2.61,99,11,3.47,few clouds
254,Tambopata,PE,2022-02-06 19:18:32,-12.7333,-69.1833,69.69,94,100,9.22,heavy intensity rain
255,Aksarka,RU,2022-02-06 19:18:32,66.5606,67.7975,-17.27,100,87,6.53,overcast clouds
256,Shelbyville,US,2022-02-06 19:18:33,35.4834,-86.4603,51.46,46,0,3.0,clear sky
257,Westport,US,2022-02-06 19:13:54,41.1415,-73.3579,31.44,59,0,1.01,clear sky
